sample_id	chrom	start	end	label	source
54	chr1	2855318	2856342	1	cpg_centered
55	chr1	161399095	161400119	1	cpg_centered
56	chr1	226870262	226871286	1	cpg_centered
57	chr1	149507360	149508384	0	non_cpg_random
58	chr1	34865733	34866757	1	cpg_centered
59	chr1	35689825	35690849	0	non_cpg_random
60	chr1	234500372	234501396	0	non_cpg_random
61	chr1	69937236	69938260	0	non_cpg_random
62	chr1	173540408	173541432	0	non_cpg_random
63	chr1	27321726	27322750	1	cpg_centered
64	chr1	120196770	120197794	1	cpg_centered
65	chr1	220591025	220592049	0	non_cpg_random
66	chr1	158113066	158114090	1	cpg_centered
67	chr1	248308123	248309147	0	non_cpg_random
68	chr1	35707579	35708603	1	cpg_centered
69	chr1	10670009	10671033	0	non_cpg_random
70	chr1	219036538	219037562	0	non_cpg_random
71	chr1	53084052	53085076	0	non_cpg_random
72	chr1	98682785	98683809	0	non_cpg_random
73	chr1	241639508	241640532	1	cpg_centered
74	chr1	201468443	201469467	1	cpg_centered
75	chr1	110780194	110781218	1	cpg_centered
76	chr1	54499022	54500046	1	cpg_centered
77	chr1	203404680	203405704	0	non_cpg_random
78	chr1	171783870	171784894	1	cpg_centered
79	chr1	40373519	40374543	1	cpg_centered
80	chr1	173867894	173868918	1	cpg_centered
81	chr1	218741460	218742484	0	non_cpg_random
82	chr1	65218525	65219549	0	non_cpg_random
83	chr1	246694861	246695885	0	non_cpg_random
84	chr1	64142268	64143292	0	non_cpg_random
85	chr1	22343756	22344780	0	non_cpg_random
86	chr1	3500036	3501060	1	cpg_centered
87	chr1	162497511	162498535	1	cpg_centered
88	chr1	96528636	96529660	0	non_cpg_random
89	chr1	19140499	19141523	0	non_cpg_random
90	chr1	165245730	165246754	0	non_cpg_random
91	chr1	40726582	40727606	0	non_cpg_random
92	chr1	48384732	48385756	0	non_cpg_random
93	chr1	188851134	188852158	0	non_cpg_random
94	chr1	98646076	98647100	0	non_cpg_random
95	chr1	220514937	220515961	0	non_cpg_random
96	chr1	154344273	154345297	0	non_cpg_random
97	chr1	53283467	53284491	1	cpg_centered
98	chr1	16444362	16445386	0	non_cpg_random
99	chr1	3323012	3324036	1	cpg_centered
100	chr1	229407097	229408121	1	cpg_centered
101	chr1	54715414	54716438	1	cpg_centered
102	chr1	11548249	11549273	0	non_cpg_random
103	chr1	6710479	6711503	0	non_cpg_random
104	chr1	166617870	166618894	0	non_cpg_random
105	chr1	62407382	62408406	0	non_cpg_random
106	chr1	121242851	121243875	0	non_cpg_random
107	chr1	167721666	167722690	1	cpg_centered
108	chr1	150139371	150140395	0	non_cpg_random
109	chr1	175848002	175849026	0	non_cpg_random
110	chr1	27575221	27576245	1	cpg_centered
111	chr1	14093771	14094795	0	non_cpg_random
112	chr1	36865592	36866616	0	non_cpg_random
113	chr1	231160694	231161718	1	cpg_centered
114	chr1	152035987	152037011	1	cpg_centered
115	chr1	44993422	44994446	0	non_cpg_random
116	chr1	14089261	14090285	0	non_cpg_random
117	chr1	144275623	144276647	1	cpg_centered
118	chr1	27130830	27131854	0	non_cpg_random
119	chr1	224929286	224930310	1	cpg_centered
120	chr1	160097933	160098957	1	cpg_centered
121	chr1	10888276	10889300	1	cpg_centered
122	chr1	226804609	226805633	0	non_cpg_random
123	chr1	78045673	78046697	1	cpg_centered
124	chr1	153922073	153923097	1	cpg_centered
125	chr1	56971793	56972817	0	non_cpg_random
126	chr1	16137491	16138515	1	cpg_centered
127	chr1	3540043	3541067	0	non_cpg_random
128	chr1	156282174	156283198	1	cpg_centered
129	chr1	16872330	16873354	1	cpg_centered
130	chr1	15617081	15618105	1	cpg_centered
131	chr1	193452149	193453173	0	non_cpg_random
132	chr1	236996734	236997758	0	non_cpg_random
133	chr1	1781939	1782963	1	cpg_centered
134	chr1	88097116	88098140	0	non_cpg_random
135	chr1	230638213	230639237	0	non_cpg_random
136	chr1	7447729	7448753	0	non_cpg_random
137	chr1	48088424	48089448	0	non_cpg_random
138	chr1	115994857	115995881	0	non_cpg_random
139	chr1	3425093	3426117	1	cpg_centered
140	chr1	35268426	35269450	1	cpg_centered
141	chr1	42145405	42146429	1	cpg_centered
142	chr1	120732627	120733651	0	non_cpg_random
143	chr1	173476890	173477914	1	cpg_centered
144	chr1	51729240	51730264	1	cpg_centered
145	chr1	57727375	57728399	0	non_cpg_random
146	chr1	146282440	146283464	0	non_cpg_random
147	chr1	31413043	31414067	1	cpg_centered
148	chr1	47310831	47311855	0	non_cpg_random
149	chr1	76288702	76289726	0	non_cpg_random
150	chr1	213811702	213812726	0	non_cpg_random
151	chr1	123251097	123252121	0	non_cpg_random
152	chr1	49003101	49004125	0	non_cpg_random
153	chr1	94973569	94974593	0	non_cpg_random
154	chr1	60145709	60146733	0	non_cpg_random
155	chr1	27153598	27154622	0	non_cpg_random
156	chr1	21436238	21437262	1	cpg_centered
157	chr1	151615703	151616727	0	non_cpg_random
158	chr1	14606254	14607278	0	non_cpg_random
159	chr1	122138769	122139793	0	non_cpg_random
160	chr1	16520579	16521603	1	cpg_centered
161	chr1	200625869	200626893	0	non_cpg_random
162	chr1	6484958	6485982	1	cpg_centered
163	chr1	98255338	98256362	0	non_cpg_random
164	chr1	1076563	1077587	1	cpg_centered
165	chr1	37915312	37916336	0	non_cpg_random
166	chr1	243118056	243119080	0	non_cpg_random
167	chr1	101553509	101554533	0	non_cpg_random
168	chr1	193104727	193105751	1	cpg_centered
169	chr1	160418942	160419966	1	cpg_centered
170	chr1	8628451	8629475	0	non_cpg_random
171	chr1	214582838	214583862	0	non_cpg_random
172	chr1	143992515	143993539	0	non_cpg_random
173	chr1	228359990	228361014	1	cpg_centered
174	chr1	163593194	163594218	0	non_cpg_random
175	chr1	178824463	178825487	0	non_cpg_random
176	chr1	3164037	3165061	1	cpg_centered
177	chr1	1115588	1116612	1	cpg_centered
178	chr1	214588230	214589254	0	non_cpg_random
179	chr1	87971608	87972632	0	non_cpg_random
180	chr1	20759685	20760709	0	non_cpg_random
181	chr1	16904482	16905506	1	cpg_centered
182	chr1	147907671	147908695	1	cpg_centered
183	chr1	145167582	145168606	1	cpg_centered
184	chr1	68046629	68047653	1	cpg_centered
185	chr1	169149852	169150876	0	non_cpg_random
186	chr1	229892144	229893168	0	non_cpg_random
187	chr1	35641002	35642026	1	cpg_centered
188	chr1	241639905	241640929	1	cpg_centered
189	chr1	92029596	92030620	1	cpg_centered
190	chr1	95072333	95073357	1	cpg_centered
191	chr1	16226486	16227510	1	cpg_centered
192	chr1	116970651	116971675	0	non_cpg_random
193	chr1	109213647	109214671	1	cpg_centered
194	chr1	20699891	20700915	0	non_cpg_random
195	chr1	159956720	159957744	0	non_cpg_random
196	chr1	119675621	119676645	0	non_cpg_random
197	chr1	109425975	109426999	1	cpg_centered
198	chr1	30946881	30947905	0	non_cpg_random
199	chr1	53459524	53460548	1	cpg_centered
200	chr1	227961801	227962825	0	non_cpg_random
201	chr1	169485317	169486341	1	cpg_centered
202	chr1	116455879	116456903	0	non_cpg_random
203	chr1	7961191	7962215	1	cpg_centered
204	chr1	155261759	155262783	1	cpg_centered
205	chr1	31788753	31789777	1	cpg_centered
206	chr1	40953572	40954596	0	non_cpg_random
207	chr1	1511649	1512673	1	cpg_centered
208	chr1	244945762	244946786	0	non_cpg_random
209	chr1	179743302	179744326	1	cpg_centered
210	chr1	204449475	204450499	0	non_cpg_random
211	chr1	210292103	210293127	1	cpg_centered
212	chr1	117797466	117798490	0	non_cpg_random
213	chr1	25938038	25939062	0	non_cpg_random
214	chr1	37553601	37554625	1	cpg_centered
215	chr1	206634998	206636022	1	cpg_centered
216	chr1	76309743	76310767	0	non_cpg_random
217	chr1	66586114	66587138	0	non_cpg_random
218	chr1	214195444	214196468	0	non_cpg_random
219	chr1	143564769	143565793	0	non_cpg_random
220	chr1	53078209	53079233	1	cpg_centered
221	chr1	187747858	187748882	0	non_cpg_random
222	chr1	228285726	228286750	1	cpg_centered
223	chr1	65420085	65421109	1	cpg_centered
224	chr1	93007638	93008662	0	non_cpg_random
225	chr1	27039144	27040168	0	non_cpg_random
226	chr1	33243041	33244065	0	non_cpg_random
227	chr1	74197734	74198758	1	cpg_centered
228	chr1	59926243	59927267	1	cpg_centered
229	chr1	207047555	207048579	0	non_cpg_random
230	chr1	150515238	150516262	1	cpg_centered
231	chr1	15711948	15712972	0	non_cpg_random
232	chr1	178048695	178049719	0	non_cpg_random
233	chr1	123881585	123882609	0	non_cpg_random
234	chr1	179877345	179878369	1	cpg_centered
235	chr1	211478676	211479700	1	cpg_centered
236	chr1	1028259	1029283	1	cpg_centered
237	chr1	33632895	33633919	1	cpg_centered
238	chr1	185074993	185076017	0	non_cpg_random
239	chr1	46447880	46448904	1	cpg_centered
240	chr1	68719575	68720599	0	non_cpg_random
241	chr1	22025050	22026074	1	cpg_centered
242	chr1	12063249	12064273	1	cpg_centered
243	chr1	172995036	172996060	0	non_cpg_random
244	chr1	212135115	212136139	0	non_cpg_random
245	chr1	91500562	91501586	1	cpg_centered
246	chr1	231642622	231643646	0	non_cpg_random
247	chr1	37319690	37320714	0	non_cpg_random
248	chr1	26035147	26036171	1	cpg_centered
249	chr1	2525799	2526823	1	cpg_centered
250	chr1	205952337	205953361	0	non_cpg_random
251	chr1	1045342	1046366	1	cpg_centered
252	chr1	216609745	216610769	0	non_cpg_random
253	chr1	56824023	56825047	0	non_cpg_random
254	chr1	218611565	218612589	0	non_cpg_random
255	chr1	11479071	11480095	1	cpg_centered
256	chr1	63461107	63462131	0	non_cpg_random
257	chr1	222500313	222501337	0	non_cpg_random
258	chr1	189904018	189905042	0	non_cpg_random
259	chr1	1386892	1387916	1	cpg_centered
260	chr1	238593501	238594525	0	non_cpg_random
261	chr1	229339933	229340957	0	non_cpg_random
262	chr1	32892846	32893870	1	cpg_centered
263	chr1	16366938	16367962	1	cpg_centered
264	chr1	47449611	47450635	1	cpg_centered
265	chr1	105322936	105323960	0	non_cpg_random
266	chr1	24619226	24620250	0	non_cpg_random
267	chr1	213388993	213390017	1	cpg_centered
268	chr1	48160376	48161400	0	non_cpg_random
269	chr1	28259459	28260483	1	cpg_centered
270	chr1	145168288	145169312	1	cpg_centered
271	chr1	233014767	233015791	0	non_cpg_random
272	chr1	231421306	231422330	1	cpg_centered
273	chr1	165763555	165764579	0	non_cpg_random
274	chr1	191376704	191377728	0	non_cpg_random
275	chr1	108067897	108068921	0	non_cpg_random
276	chr1	29478076	29479100	1	cpg_centered
277	chr1	143333728	143334752	1	cpg_centered
278	chr1	172966008	172967032	0	non_cpg_random
279	chr1	244730089	244731113	1	cpg_centered
280	chr1	208723817	208724841	0	non_cpg_random
281	chr1	14311539	14312563	0	non_cpg_random
282	chr1	46790224	46791248	0	non_cpg_random
283	chr1	155294624	155295648	1	cpg_centered
284	chr1	155000816	155001840	1	cpg_centered
285	chr1	184221351	184222375	0	non_cpg_random
286	chr1	206076203	206077227	0	non_cpg_random
287	chr1	50421665	50422689	1	cpg_centered
288	chr1	157553704	157554728	0	non_cpg_random
289	chr1	7680058	7681082	1	cpg_centered
290	chr1	201170549	201171573	1	cpg_centered
291	chr1	32387013	32388037	0	non_cpg_random
292	chr1	147981003	147982027	0	non_cpg_random
293	chr1	213979586	213980610	1	cpg_centered
294	chr1	148309649	148310673	1	cpg_centered
295	chr1	67134357	67135381	1	cpg_centered
296	chr1	21936806	21937830	1	cpg_centered
297	chr1	108821902	108822926	0	non_cpg_random
298	chr1	42658016	42659040	1	cpg_centered
299	chr1	113607072	113608096	0	non_cpg_random
300	chr1	16707241	16708265	1	cpg_centered
301	chr1	120414610	120415634	1	cpg_centered
302	chr1	231741454	231742478	0	non_cpg_random
303	chr1	82572119	82573143	0	non_cpg_random
304	chr1	232573895	232574919	0	non_cpg_random
305	chr1	156813476	156814500	1	cpg_centered
306	chr1	211514928	211515952	1	cpg_centered
307	chr1	62006003	62007027	0	non_cpg_random
308	chr1	112116188	112117212	0	non_cpg_random
309	chr1	181052190	181053214	0	non_cpg_random
310	chr1	181818552	181819576	0	non_cpg_random
311	chr1	171832065	171833089	0	non_cpg_random
312	chr1	6993374	6994398	0	non_cpg_random
313	chr1	229507744	229508768	1	cpg_centered
314	chr1	38859084	38860108	1	cpg_centered
315	chr1	223748479	223749503	1	cpg_centered
316	chr1	196741407	196742431	0	non_cpg_random
317	chr1	26111115	26112139	1	cpg_centered
318	chr1	19437559	19438583	0	non_cpg_random
319	chr1	15836930	15837954	1	cpg_centered
320	chr1	1203477	1204501	0	non_cpg_random
321	chr1	167650568	167651592	0	non_cpg_random
322	chr1	15248263	15249287	0	non_cpg_random
323	chr1	150293650	150294674	1	cpg_centered
324	chr1	237317902	237318926	0	non_cpg_random
325	chr1	37356429	37357453	0	non_cpg_random
326	chr1	76867625	76868649	1	cpg_centered
327	chr1	108106040	108107064	0	non_cpg_random
328	chr1	41017371	41018395	1	cpg_centered
329	chr1	205227381	205228405	1	cpg_centered
330	chr1	115261759	115262783	0	non_cpg_random
331	chr1	217630518	217631542	1	cpg_centered
332	chr1	73716756	73717780	0	non_cpg_random
333	chr1	226702993	226704017	1	cpg_centered
334	chr1	117929145	117930169	1	cpg_centered
335	chr1	148854520	148855544	0	non_cpg_random
336	chr1	20366053	20367077	1	cpg_centered
337	chr1	16513899	16514923	1	cpg_centered
338	chr1	86214204	86215228	0	non_cpg_random
339	chr1	176380191	176381215	0	non_cpg_random
340	chr1	97920388	97921412	1	cpg_centered
341	chr1	205504353	205505377	1	cpg_centered
342	chr1	16072812	16073836	1	cpg_centered
343	chr1	114510529	114511553	1	cpg_centered
344	chr1	210130165	210131189	0	non_cpg_random
345	chr1	207531013	207532037	0	non_cpg_random
346	chr1	146938301	146939325	1	cpg_centered
347	chr1	26472101	26473125	1	cpg_centered
348	chr1	22805808	22806832	0	non_cpg_random
349	chr1	87151644	87152668	1	cpg_centered
350	chr1	47507846	47508870	1	cpg_centered
351	chr1	120068799	120069823	1	cpg_centered
352	chr1	143972779	143973803	1	cpg_centered
353	chr1	244727781	244728805	0	non_cpg_random
354	chr1	235429430	235430454	0	non_cpg_random
355	chr1	118663404	118664428	0	non_cpg_random
356	chr1	228200228	228201252	0	non_cpg_random
357	chr1	209675078	209676102	1	cpg_centered
358	chr1	122096142	122097166	0	non_cpg_random
359	chr1	227385842	227386866	0	non_cpg_random
360	chr1	27234156	27235180	1	cpg_centered
361	chr1	84505722	84506746	1	cpg_centered
362	chr1	110129940	110130964	1	cpg_centered
363	chr1	5529143	5530167	0	non_cpg_random
364	chr1	157445843	157446867	0	non_cpg_random
365	chr1	245688031	245689055	1	cpg_centered
366	chr1	165603715	165604739	0	non_cpg_random
367	chr1	35799453	35800477	0	non_cpg_random
368	chr1	10807255	10808279	0	non_cpg_random
369	chr1	146703058	146704082	0	non_cpg_random
370	chr1	44842667	44843691	1	cpg_centered
371	chr1	166345529	166346553	0	non_cpg_random
372	chr1	145996179	145997203	1	cpg_centered
373	chr1	231698791	231699815	0	non_cpg_random
374	chr1	109041216	109042240	1	cpg_centered
375	chr1	220893962	220894986	1	cpg_centered
376	chr1	61082903	61083927	1	cpg_centered
377	chr1	151131904	151132928	1	cpg_centered
378	chr1	83822308	83823332	0	non_cpg_random
379	chr1	101450412	101451436	0	non_cpg_random
380	chr1	1988807	1989831	0	non_cpg_random
381	chr1	228280931	228281955	0	non_cpg_random
382	chr1	234213919	234214943	1	cpg_centered
383	chr1	245109573	245110597	0	non_cpg_random
384	chr1	109090276	109091300	1	cpg_centered
385	chr1	196883280	196884304	0	non_cpg_random
386	chr1	19272708	19273732	0	non_cpg_random
387	chr1	162790184	162791208	1	cpg_centered
388	chr1	237982790	237983814	0	non_cpg_random
389	chr1	2476791	2477815	0	non_cpg_random
390	chr1	20731681	20732705	1	cpg_centered
391	chr1	10704118	10705142	1	cpg_centered
392	chr1	201073826	201074850	0	non_cpg_random
393	chr1	99004190	99005214	1	cpg_centered
394	chr1	40883832	40884856	1	cpg_centered
395	chr1	72690272	72691296	0	non_cpg_random
396	chr1	248837984	248839008	1	cpg_centered
397	chr1	6253378	6254402	1	cpg_centered
398	chr1	9494944	9495968	1	cpg_centered
399	chr1	19430387	19431411	0	non_cpg_random
400	chr1	155269083	155270107	1	cpg_centered
401	chr1	36793644	36794668	0	non_cpg_random
402	chr1	222777485	222778509	0	non_cpg_random
403	chr1	49151598	49152622	0	non_cpg_random
404	chr1	150650044	150651068	0	non_cpg_random
405	chr1	364411	365435	0	non_cpg_random
406	chr1	192898321	192899345	0	non_cpg_random
407	chr1	155858967	155859991	1	cpg_centered
408	chr1	118992691	118993715	1	cpg_centered
409	chr1	86169400	86170424	0	non_cpg_random
410	chr1	154608421	154609445	0	non_cpg_random
411	chr1	1242154	1243178	1	cpg_centered
412	chr1	143450007	143451031	1	cpg_centered
413	chr1	53276387	53277411	1	cpg_centered
414	chr1	175657884	175658908	0	non_cpg_random
415	chr1	243219883	243220907	0	non_cpg_random
416	chr1	117040818	117041842	0	non_cpg_random
417	chr1	107321263	107322287	0	non_cpg_random
418	chr1	220055672	220056696	0	non_cpg_random
419	chr1	228754587	228755611	1	cpg_centered
420	chr1	55706538	55707562	0	non_cpg_random
421	chr1	170766273	170767297	0	non_cpg_random
422	chr1	149421411	149422435	0	non_cpg_random
423	chr1	8317487	8318511	1	cpg_centered
424	chr1	153962966	153963990	1	cpg_centered
425	chr1	115543075	115544099	0	non_cpg_random
426	chr1	211028552	211029576	0	non_cpg_random
427	chr1	50960574	50961598	0	non_cpg_random
428	chr1	28204185	28205209	0	non_cpg_random
429	chr1	227560428	227561452	1	cpg_centered
430	chr1	6208632	6209656	1	cpg_centered
431	chr1	90932377	90933401	0	non_cpg_random
432	chr1	237940713	237941737	0	non_cpg_random
433	chr1	68004387	68005411	0	non_cpg_random
434	chr1	92740998	92742022	0	non_cpg_random
435	chr1	146911470	146912494	0	non_cpg_random
436	chr1	90618191	90619215	0	non_cpg_random
437	chr1	35573337	35574361	1	cpg_centered
438	chr1	45855993	45857017	0	non_cpg_random
439	chr1	61648169	61649193	0	non_cpg_random
440	chr1	43171594	43172618	1	cpg_centered
441	chr1	188134195	188135219	0	non_cpg_random
442	chr1	34792564	34793588	1	cpg_centered
443	chr1	970525	971549	1	cpg_centered
444	chr1	50539673	50540697	0	non_cpg_random
445	chr1	2280999	2282023	1	cpg_centered
446	chr1	54764041	54765065	1	cpg_centered
447	chr1	82316758	82317782	0	non_cpg_random
448	chr1	205312023	205313047	0	non_cpg_random
449	chr1	12126850	12127874	0	non_cpg_random
450	chr1	228624608	228625632	1	cpg_centered
451	chr1	44977781	44978805	0	non_cpg_random
452	chr1	153990380	153991404	1	cpg_centered
453	chr1	41361301	41362325	1	cpg_centered
454	chr1	244451212	244452236	1	cpg_centered
455	chr1	40161078	40162102	1	cpg_centered
456	chr1	19644083	19645107	1	cpg_centered
457	chr1	228735294	228736318	1	cpg_centered
458	chr1	124353700	124354724	0	non_cpg_random
459	chr1	67335613	67336637	0	non_cpg_random
460	chr1	205939718	205940742	0	non_cpg_random
461	chr1	89706103	89707127	0	non_cpg_random
462	chr1	34176590	34177614	1	cpg_centered
463	chr1	148952068	148953092	1	cpg_centered
464	chr1	2906496	2907520	0	non_cpg_random
465	chr1	6465725	6466749	1	cpg_centered
466	chr1	2776466	2777490	0	non_cpg_random
467	chr1	175323925	175324949	0	non_cpg_random
468	chr1	111245176	111246200	0	non_cpg_random
469	chr1	216479331	216480355	0	non_cpg_random
470	chr1	159780582	159781606	1	cpg_centered
471	chr1	231683385	231684409	0	non_cpg_random
472	chr1	52336030	52337054	0	non_cpg_random
473	chr1	111448619	111449643	1	cpg_centered
474	chr1	86095506	86096530	0	non_cpg_random
475	chr1	242319705	242320729	0	non_cpg_random
476	chr1	54780945	54781969	1	cpg_centered
477	chr1	113245608	113246632	0	non_cpg_random
478	chr1	121912465	121913489	0	non_cpg_random
479	chr1	77888330	77889354	1	cpg_centered
480	chr1	95965440	95966464	0	non_cpg_random
481	chr1	226975775	226976799	1	cpg_centered
482	chr1	225676984	225678008	1	cpg_centered
483	chr1	86070988	86072012	0	non_cpg_random
484	chr1	185751608	185752632	0	non_cpg_random
485	chr1	203996866	203997890	0	non_cpg_random
486	chr1	248246399	248247423	0	non_cpg_random
487	chr1	228615690	228616714	1	cpg_centered
488	chr1	61166386	61167410	0	non_cpg_random
489	chr1	47592827	47593851	1	cpg_centered
490	chr1	209166038	209167062	0	non_cpg_random
491	chr1	107139876	107140900	1	cpg_centered
492	chr1	5949263	5950287	0	non_cpg_random
493	chr1	230978114	230979138	1	cpg_centered
494	chr1	243931122	243932146	1	cpg_centered
495	chr1	150008491	150009515	0	non_cpg_random
496	chr1	19369236	19370260	0	non_cpg_random
497	chr1	145607692	145608716	1	cpg_centered
498	chr1	1588747	1589771	0	non_cpg_random
499	chr1	224616261	224617285	1	cpg_centered
500	chr1	202213788	202214812	1	cpg_centered
501	chr1	167665224	167666248	0	non_cpg_random
502	chr1	36341360	36342384	1	cpg_centered
503	chr1	458818	459842	0	non_cpg_random
504	chr1	116182127	116183151	0	non_cpg_random
505	chr1	10825868	10826892	0	non_cpg_random
506	chr1	28696146	28697170	0	non_cpg_random
507	chr1	1980083	1981107	1	cpg_centered
508	chr1	116418228	116419252	1	cpg_centered
509	chr1	200729138	200730162	0	non_cpg_random
510	chr1	935254	936278	1	cpg_centered
511	chr1	148678911	148679935	1	cpg_centered
512	chr1	45622484	45623508	1	cpg_centered
513	chr1	109655700	109656724	1	cpg_centered
514	chr1	13513052	13514076	1	cpg_centered
515	chr1	94236949	94237973	1	cpg_centered
516	chr1	22129119	22130143	1	cpg_centered
517	chr1	42784739	42785763	1	cpg_centered
518	chr1	179954420	179955444	1	cpg_centered
519	chr1	197570733	197571757	0	non_cpg_random
520	chr1	112508423	112509447	1	cpg_centered
521	chr1	93740126	93741150	0	non_cpg_random
522	chr1	39599967	39600991	0	non_cpg_random
523	chr1	149700754	149701778	1	cpg_centered
524	chr1	229625454	229626478	1	cpg_centered
525	chr1	200035063	200036087	1	cpg_centered
526	chr1	3080296	3081320	1	cpg_centered
527	chr1	159219862	159220886	0	non_cpg_random
528	chr1	243026971	243027995	0	non_cpg_random
529	chr1	197974308	197975332	0	non_cpg_random
530	chr1	170664087	170665111	1	cpg_centered
531	chr1	77281601	77282625	1	cpg_centered
532	chr1	222711924	222712948	1	cpg_centered
533	chr1	155415641	155416665	0	non_cpg_random
534	chr1	234249868	234250892	0	non_cpg_random
535	chr1	160342831	160343855	1	cpg_centered
536	chr1	46896514	46897538	0	non_cpg_random
537	chr1	233779943	233780967	0	non_cpg_random
538	chr1	195895389	195896413	0	non_cpg_random
539	chr1	5474204	5475228	0	non_cpg_random
540	chr1	192139980	192141004	0	non_cpg_random
541	chr1	148548562	148549586	0	non_cpg_random
542	chr1	108053832	108054856	0	non_cpg_random
543	chr1	114251201	114252225	0	non_cpg_random
544	chr1	232985773	232986797	1	cpg_centered
545	chr1	159163971	159164995	0	non_cpg_random
546	chr1	161751149	161752173	0	non_cpg_random
547	chr1	100379516	100380540	0	non_cpg_random
548	chr1	112568707	112569731	0	non_cpg_random
549	chr1	86543471	86544495	0	non_cpg_random
550	chr1	28634425	28635449	0	non_cpg_random
551	chr1	93278180	93279204	0	non_cpg_random
552	chr1	175062639	175063663	0	non_cpg_random
553	chr1	108915357	108916381	0	non_cpg_random
554	chr1	13425622	13426646	0	non_cpg_random
555	chr1	199684873	199685897	0	non_cpg_random
556	chr1	18902225	18903249	1	cpg_centered
557	chr1	35576825	35577849	1	cpg_centered
558	chr1	46603713	46604737	1	cpg_centered
559	chr1	171407329	171408353	0	non_cpg_random
560	chr1	205882989	205884013	0	non_cpg_random
561	chr1	151473018	151474042	1	cpg_centered
562	chr1	86155395	86156419	1	cpg_centered
563	chr1	33907081	33908105	0	non_cpg_random
564	chr1	10521182	10522206	0	non_cpg_random
565	chr1	146018940	146019964	1	cpg_centered
566	chr1	1522599	1523623	1	cpg_centered
567	chr1	25023532	25024556	0	non_cpg_random
568	chr1	236316612	236317636	0	non_cpg_random
569	chr1	160400096	160401120	1	cpg_centered
570	chr1	53919675	53920699	0	non_cpg_random
571	chr1	161201730	161202754	1	cpg_centered
572	chr1	53738171	53739195	1	cpg_centered
573	chr1	243979139	243980163	1	cpg_centered
574	chr1	1307900	1308924	1	cpg_centered
575	chr1	1226228	1227252	1	cpg_centered
576	chr1	40315040	40316064	1	cpg_centered
577	chr1	195009082	195010106	0	non_cpg_random
578	chr1	204923503	204924527	0	non_cpg_random
579	chr1	89820767	89821791	1	cpg_centered
580	chr1	212035246	212036270	1	cpg_centered
581	chr1	239733314	239734338	0	non_cpg_random
582	chr1	18482264	18483288	1	cpg_centered
583	chr1	243509363	243510387	0	non_cpg_random
584	chr1	230067092	230068116	1	cpg_centered
585	chr1	183085650	183086674	0	non_cpg_random
586	chr1	201057099	201058123	0	non_cpg_random
587	chr1	152003992	152005016	0	non_cpg_random
588	chr1	90725577	90726601	1	cpg_centered
589	chr1	51186522	51187546	0	non_cpg_random
590	chr1	226548683	226549707	1	cpg_centered
591	chr1	114669479	114670503	1	cpg_centered
592	chr1	46612589	46613613	1	cpg_centered
